TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,12/09/2017,BKN vs. MIA,L,239,89,33,81,40.7,7,27,25.9,16,19,84.2,8,35,43,16,3,3,12,17,-12
BKN,12/07/2017,BKN vs. OKC,W,239,100,35,80,43.8,11,37,29.7,19,30,63.3,7,42,49,24,3,7,13,21,5
BKN,12/04/2017,BKN @ ATL,W,240,110,41,85,48.2,15,36,41.7,13,15,86.7,12,40,52,29,7,6,22,28,20
BKN,12/02/2017,BKN vs. ATL,L,239,102,34,82,41.5,17,42,40.5,17,21,81,12,34,46,26,1,8,19,18,-12
BKN,11/29/2017,BKN @ DAL,W,240,109,42,90,46.7,11,29,37.9,14,25,56,14,38,52,25,5,1,14,21,5
BKN,11/27/2017,BKN @ HOU,L,240,103,40,86,46.5,10,39,25.6,13,17,76.5,6,37,43,24,5,4,13,19,-14
BKN,11/26/2017,BKN @ MEM,W,239,98,33,74,44.6,13,29,44.8,19,23,82.6,12,31,43,19,7,7,17,22,10
BKN,11/24/2017,BKN vs. POR,L,241,125,50,100,50,10,25,40,15,21,71.4,13,34,47,25,4,6,9,22,-2
BKN,11/22/2017,BKN @ CLE,L,240,109,42,81,51.9,14,37,37.8,11,16,68.8,8,34,42,26,5,2,19,21,-10
BKN,11/19/2017,BKN vs. GSW,L,240,111,34,95,35.8,16,48,33.3,27,39,69.2,13,39,52,24,7,2,13,21,-7
BKN,11/17/2017,BKN vs. UTA,W,240,118,43,84,51.2,17,37,45.9,15,20,75,4,32,36,27,8,2,12,21,11
BKN,11/14/2017,BKN vs. BOS,L,240,102,39,88,44.3,14,35,40,10,16,62.5,9,34,43,26,4,3,14,24,-7
BKN,11/11/2017,BKN @ UTA,L,241,106,35,76,46.1,7,23,30.4,29,39,74.4,10,31,41,13,7,4,17,22,-10.6
BKN,11/10/2017,BKN @ POR,W,240,101,39,91,42.9,12,38,31.6,11,19,57.9,11,38,49,25,7,4,10,13,4
BKN,11/07/2017,BKN @ DEN,L,241,104,38,89,42.7,11,35,31.4,17,22,77.3,8,39,47,22,12,6,25,16,-8
BKN,11/06/2017,BKN @ PHX,W,240,98,35,87,40.2,8,32,25,20,29,69,11,37,48,20,10,4,16,30,6
BKN,11/03/2017,BKN @ LAL,L,240,112,37,91,40.7,9,38,23.7,29,38,76.3,8,35,43,23,8,5,16,22,-12
BKN,10/31/2017,BKN vs. PHX,L,241,114,42,102,41.2,9,31,29,21,30,70,7,37,44,15,9,4,7,22,-8
BKN,10/29/2017,BKN vs. DEN,L,241,111,39,96,40.6,12,31,38.7,21,31,67.7,17,39,56,24,5,4,15,18,-9.6
BKN,10/27/2017,BKN @ NYK,L,240,86,30,75,40,11,30,36.7,15,21,71.4,5,30,35,18,5,1,16,20,-21
BKN,10/25/2017,BKN vs. CLE,W,241,112,40,93,43,17,46,37,15,21,71.4,10,28,38,22,11,3,12,22,11.2
BKN,10/24/2017,BKN @ ORL,L,242,121,40,96,41.7,11,35,31.4,30,34,88.2,14,35,49,21,8,4,15,27,-4
BKN,10/22/2017,BKN vs. ATL,W,240,116,41,87,47.1,11,27,40.7,23,34,67.6,13,38,51,27,12,8,18,27,12
